Mes,Residuo,Modalidad,Cantidad
2013-01-01T00:00,Aceite usado coche,Punto limpio,"500,00"
2013-02-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2013-03-01T00:00,Aceite usado coche,Punto limpio,"500,00"
2013-04-01T00:00,Aceite usado coche,Punto limpio,"500,00"
2013-05-01T00:00,Aceite usado coche,Punto limpio,"500,00"
2013-06-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2013-07-01T00:00,Aceite usado coche,Punto limpio,"300,00"
2013-08-01T00:00,Aceite usado coche,Punto limpio,"600,00"
2013-09-01T00:00,Aceite usado coche,Punto limpio,"600,00"
2013-10-01T00:00,Aceite usado coche,Punto limpio,"600,00"
2013-11-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2013-12-01T00:00,Aceite usado coche,Punto limpio,"700,00"
2014-01-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2014-02-01T00:00,Aceite usado coche,Punto limpio,"1080,00"
2014-03-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2014-04-01T00:00,Aceite usado coche,Punto limpio,"500,00"
2014-05-01T00:00,Aceite usado coche,Punto limpio,"800,00"
2014-06-01T00:00,Aceite usado coche,Punto limpio,"450,00"
2014-07-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2014-08-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2014-09-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2014-10-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2014-11-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2014-12-01T00:00,Aceite usado coche,Punto limpio,"540,00"
2015-01-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2015-02-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-03-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-04-01T00:00,Aceite usado coche,Punto limpio,"800,00"
2015-05-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-06-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2015-07-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-08-01T00:00,Aceite usado coche,Punto limpio,"800,00"
2015-09-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-10-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2015-11-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2015-12-01T00:00,Aceite usado coche,Punto limpio,"900,00"
2016-01-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2016-02-01T00:00,Aceite usado coche,Punto limpio,"300,00"
2016-03-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2016-04-01T00:00,Aceite usado coche,Punto limpio,"810,00"
2016-05-01T00:00,Aceite usado coche,Punto limpio,"0,00"
2016-06-01T00:00,Aceite usado coche,Punto limpio,"900,00"
